id,year,month,day,dep_time,sched_dep_time,dep_delay,arr_time,sched_arr_time,arr_delay,flight,tailnum,origin,dest,air_time,distance,hour,minute,name
0,2013,1,1,517.0,515,2.0,830.0,819,11.0,1545,N14228,EWR,IAH,227.0,1400,5,15,United Air Lines Inc.
1,2013,1,1,533.0,529,4.0,850.0,830,20.0,1714,N24211,LGA,IAH,227.0,1416,5,29,United Air Lines Inc.
2,2013,1,1,542.0,540,2.0,923.0,850,33.0,1141,N619AA,JFK,MIA,160.0,1089,5,40,American Airlines Inc.
3,2013,1,1,544.0,545,-1.0,1004.0,1022,-18.0,725,N804JB,JFK,BQN,183.0,1576,5,45,JetBlue Airways
4,2013,1,1,554.0,600,-6.0,812.0,837,-25.0,461,N668DN,LGA,ATL,116.0,762,6,0,Delta Air Lines Inc.
5,2013,1,1,554.0,558,-4.0,740.0,728,12.0,1696,N39463,EWR,ORD,150.0,719,5,58,United Air Lines Inc.
6,2013,1,1,555.0,600,-5.0,913.0,854,19.0,507,N516JB,EWR,FLL,158.0,1065,6,0,JetBlue Airways
7,2013,1,1,557.0,600,-3.0,709.0,723,-14.0,5708,N829AS,LGA,IAD,53.0,229,6,0,ExpressJet Airlines Inc.
8,2013,1,1,557.0,600,-3.0,838.0,846,-8.0,79,N593JB,JFK,MCO,140.0,944,6,0,JetBlue Airways
9,2013,1,1,558.0,600,-2.0,753.0,745,8.0,301,N3ALAA,LGA,ORD,138.0,733,6,0,American Airlines Inc.
10,2013,1,1,558.0,600,-2.0,849.0,851,-2.0,49,N793JB,JFK,PBI,149.0,1028,6,0,JetBlue Airways
11,2013,1,1,558.0,600,-2.0,853.0,856,-3.0,71,N657JB,JFK,TPA,158.0,1005,6,0,JetBlue Airways
12,2013,1,1,558.0,600,-2.0,924.0,917,7.0,194,N29129,JFK,LAX,345.0,2475,6,0,United Air Lines Inc.
13,2013,1,1,558.0,600,-2.0,923.0,937,-14.0,1124,N53441,EWR,SFO,361.0,2565,6,0,United Air Lines Inc.
14,2013,1,1,559.0,600,-1.0,941.0,910,31.0,707,N3DUAA,LGA,DFW,257.0,1389,6,0,American Airlines Inc.
15,2013,1,1,559.0,559,0.0,702.0,706,-4.0,1806,N708JB,JFK,BOS,44.0,187,5,59,JetBlue Airways
16,2013,1,1,559.0,600,-1.0,854.0,902,-8.0,1187,N76515,EWR,LAS,337.0,2227,6,0,United Air Lines Inc.
17,2013,1,1,600.0,600,0.0,851.0,858,-7.0,371,N595JB,LGA,FLL,152.0,1076,6,0,JetBlue Airways
18,2013,1,1,600.0,600,0.0,837.0,825,12.0,4650,N542MQ,LGA,ATL,134.0,762,6,0,Envoy Air
19,2013,1,1,601.0,600,1.0,844.0,850,-6.0,343,N644JB,EWR,PBI,147.0,1023,6,0,JetBlue Airways
20,2013,1,1,602.0,610,-8.0,812.0,820,-8.0,1919,N971DL,LGA,MSP,170.0,1020,6,10,Delta Air Lines Inc.
21,2013,1,1,602.0,605,-3.0,821.0,805,16.0,4401,N730MQ,LGA,DTW,105.0,502,6,5,Envoy Air
22,2013,1,1,606.0,610,-4.0,858.0,910,-12.0,1895,N633AA,EWR,MIA,152.0,1085,6,10,American Airlines Inc.
23,2013,1,1,606.0,610,-4.0,837.0,845,-8.0,1743,N3739P,JFK,ATL,128.0,760,6,10,Delta Air Lines Inc.
24,2013,1,1,607.0,607,0.0,858.0,915,-17.0,1077,N53442,EWR,MIA,157.0,1085,6,7,United Air Lines Inc.
25,2013,1,1,608.0,600,8.0,807.0,735,32.0,3768,N9EAMQ,EWR,ORD,139.0,719,6,0,Envoy Air
26,2013,1,1,611.0,600,11.0,945.0,931,14.0,303,N532UA,JFK,SFO,366.0,2586,6,0,United Air Lines Inc.
27,2013,1,1,613.0,610,3.0,925.0,921,4.0,135,N635JB,JFK,RSW,175.0,1074,6,10,JetBlue Airways
28,2013,1,1,615.0,615,0.0,1039.0,1100,-21.0,709,N794JB,JFK,SJU,182.0,1598,6,15,JetBlue Airways
29,2013,1,1,615.0,615,0.0,833.0,842,-9.0,575,N326NB,EWR,ATL,120.0,746,6,15,Delta Air Lines Inc.
30,2013,1,1,622.0,630,-8.0,1017.0,1014,3.0,245,N807AW,EWR,PHX,342.0,2133,6,30,US Airways Inc.
31,2013,1,1,623.0,610,13.0,920.0,915,5.0,1837,N3EMAA,LGA,MIA,153.0,1096,6,10,American Airlines Inc.
32,2013,1,1,623.0,627,-4.0,933.0,932,1.0,496,N459UA,LGA,IAH,229.0,1416,6,27,United Air Lines Inc.
33,2013,1,1,624.0,630,-6.0,909.0,840,29.0,4626,N11107,EWR,MSP,190.0,1008,6,30,ExpressJet Airlines Inc.
34,2013,1,1,624.0,630,-6.0,840.0,830,10.0,4599,N518MQ,LGA,MSP,166.0,1020,6,30,Envoy Air
35,2013,1,1,627.0,630,-3.0,1018.0,1018,0.0,27,N535UW,JFK,PHX,330.0,2153,6,30,US Airways Inc.
36,2013,1,1,628.0,630,-2.0,1137.0,1140,-3.0,413,N3BAAA,JFK,SJU,192.0,1598,6,30,American Airlines Inc.
